Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Additional information;Situation;Level;Depth
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;Cadmio;-;=;0.09;mg/kg PS;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;Cobre;-;=;15;mg/kg PS;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;Níquel;-;=;24;mg/kg PS;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;Plomo;-;=;24;mg/kg PS;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;Zinc;-;=;82;mg/kg PS;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;Cromo;-;=;39;mg/kg PS;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;Mercurio;-;=;0.07;mg/kg PS;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;Hierro;-;=;34763;mg/kg PS;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;Manganeso;-;=;383;mg/kg PS;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;% Materia orgánica;-;=;1.54;%;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;% Limo/Arcilla;-;=;2.4;%;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;% Arena;-;=;97.54;%;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;% Grava;-;=;0.06;%;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;Potencial Redox;-;=;89;mV;;-;-;0
L-O20;10/03/2025;8:52;LITORALES;Sedimentos;% Humedad;-;=;29.138;%;;-;-;0
