Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Additional information;Situation;Level;Depth
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;% Grava;-;=;0.14;%;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;Potencial Redox;-;=;387;mV;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;% Limo/Arcilla;-;=;1.04;%;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;Manganeso;-;=;1300;mg/kg PS;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;% Materia orgánica;-;=;1.53;%;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;Hierro;-;=;97423;mg/kg PS;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;Mercurio;-;=;0.7;mg/kg PS;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;Cromo;-;=;29;mg/kg PS;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;Zinc;-;=;141;mg/kg PS;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;Plomo;-;=;45;mg/kg PS;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;Níquel;-;=;19;mg/kg PS;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;Cobre;-;=;42;mg/kg PS;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;Cadmio;-;=;0.18;mg/kg PS;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;% Humedad;-;=;26.047;%;;-;-;0
L-N20;11/03/2025;12:01;LITORALES;Sedimentos;% Arena;-;=;98.82;%;;-;-;0
