Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Additional information;Situation;Level;Depth
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;Cadmio;-;=;0.19;mg/kg PS;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;% Humedad;-;=;26.943;%;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;Níquel;-;=;20;mg/kg PS;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;Plomo;-;=;57;mg/kg PS;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;Zinc;-;=;219;mg/kg PS;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;Cromo;-;=;31;mg/kg PS;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;Mercurio;-;=;0.18;mg/kg PS;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;Hierro;-;=;161989;mg/kg PS;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;Manganeso;-;=;1774;mg/kg PS;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;% Materia orgánica;-;=;1.34;%;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;% Limo/Arcilla;-;=;0.42;%;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;% Arena;-;=;99.43;%;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;% Grava;-;=;0.15;%;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;Potencial Redox;-;=;442;mV;;-;-;0
L-B10;11/03/2025;11:33;LITORALES;Sedimentos;Cobre;-;=;58;mg/kg PS;;-;-;0
