Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Additional information;Situation;Level;Depth
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;Potencial Redox;-;=;366;mV;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;Manganeso;-;=;219;mg/kg PS;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;Mercurio;-;=;0.16;mg/kg PS;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;Cromo;-;=;11;mg/kg PS;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;Zinc;-;=;55;mg/kg PS;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;Plomo;-;=;17;mg/kg PS;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;Níquel;-;=;10;mg/kg PS;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;Cobre;-;=;8;mg/kg PS;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;Cadmio;-;=;0.08;mg/kg PS;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;% Materia orgánica;-;=;1.43;%;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;% Grava;-;=;0.66;%;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;% Humedad;-;=;30.492;%;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;% Limo/Arcilla;-;=;0.34;%;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;% Arena;-;=;98.99;%;;-;-;0
L-L20;10/03/2025;11:35;LITORALES;Sedimentos;Hierro;-;=;18575;mg/kg PS;;-;-;0
